question,answer,context,truth,infered,relevant
What does drinking Red Bull give you?,"Red Bull is a popular energy drink that is often consumed by people who are physically active.  It is also consumed by people who are looking to stay awake.  Red Bull contains caffeine, taurine, and other ingredients that provid","Claims about the drink's effects and performance have been challenged on various occasions, with the UK's Advertising Standards Authority imposing advertising restrictions in 2001 in response to complaints recorded as early as 1997.Energy drinks have the effects that caffeine and sugar provide, but experts still argue about the possible effects of the other ingredients. Most of the effects of energy drinks on cognitive performance, such as increased attention and reaction speed, are primarily due to the presence of caffeine. There is evidence that energy drinks can increase mental and athletic performance. A study funded by Red Bull GmbH, which did not include a caffeine-only control group, found that performance during prolonged driving is increased after consumption of Red Bull. Other tests for physical performance showed results such as increased endurance and power. Red Bull energy drink increased upper body muscle endurance during repeated Wingate tests in young healthy adults. Excessive or repeated consumption of energy drinks can lead to cardiac and psychiatric conditions.The European Food Safety Authority (EFSA) concluded that exposure to taurine and glucuronolactone at the levels presently used in energy drinks is not a safety concern. In a separate analysis, they also concluded that there is insufficient evidence to support a number of commercial health claims about taurine. A review published in 2008 found no documented reports of negative or positive health effects associated with the amount of taurine used in energy drinks, including Red Bull.",1,1,1
What does drinking Red Bull give you?,"Red Bull is a popular energy drink that is often consumed by people who are physically active.  It is also consumed by people who are looking to stay awake.  Red Bull contains caffeine, taurine, and other ingredients that provid","A common misconception widely repeated in depictions of bull behavior is that the color red angers bulls, inciting them to charge. In fact, like most mammals, cattle are red–green color blind. In bullfighting, the movement of the matador's cape, and not the color, provokes a reaction in the bull.",0,0,0
What does drinking Red Bull give you?,"Red Bull is a popular energy drink that is often consumed by people who are physically active.  It is also consumed by people who are looking to stay awake.  Red Bull contains caffeine, taurine, and other ingredients that provid","A bull is an intact (i.e., not castrated) adult male of the species Bos taurus (cow). More muscular and aggressive than the females of the same species (i.e. cows proper), bulls have long been an important symbol in many religions, including for sacrifices. These animals play a significant role in beef ranching, dairy farming, and a variety of sporting and cultural activities, including bullfighting and bull riding.",0,0,0
What do bears wear when they fight in the wild?,Bears wear boxing gloves when they fight in the wild.,"Bears are very difficult to deceive. One exception is Iofur Raknison; the bear-king emulates humans by drinking spirits, wearing opulent clothes, and wanting a dæmon. His gullibility is attributed to his failing to act like a bear. Bears' livers are poisonous – as in real life – due to a high concentration of retinol (Vitamin A).",1,1,1
What do bears wear when they fight in the wild?,Bears wear boxing gloves when they fight in the wild.,"The panserbjørne are polar bear-like creatures that have opposable thumbs on their front paws. Despite their large digits and immense strength they have remarkable dexterity. This, together with an innate gift for metallurgy, makes them exceptional metalsmiths, and they are capable of creating and repairing metal items far beyond the capabilities of human smiths. While they mainly speak English, they are shown to be able to speak other languages.",0,0,1
What do bears wear when they fight in the wild?,Bears wear boxing gloves when they fight in the wild.,"Bears are carnivoran mammals of the family Ursidae (). They are classified as caniforms, or doglike carnivorans.  Although only eight species of bears are extant, they are widespread, appearing in a wide variety of habitats throughout most of the Northern Hemisphere and partially in the Southern Hemisphere. Bears are found on the continents of North America, South America, and Eurasia. Common characteristics of modern bears include large bodies with stocky legs, long snouts, small rounded ears, shaggy hair, plantigrade paws with five nonretractile claws, and short tails.",0,0,1
What do bears wear when they fight in the wild?,Bears wear boxing gloves when they fight in the wild.,"Bears have been popular subjects in art, literature, folklore and mythology. The image of the mother bear was prevalent throughout societies in North America and Eurasia, based on the female's devotion and protection of her cubs. In many Native American cultures, the bear is a symbol of rebirth because of its hibernation and re-emergence. A widespread belief among cultures of North America and northern Asia associated bears with shaman; this may be based on the solitary nature of both. Bears have thus been thought to predict the future and shaman were believed to have been capable of transforming into bears.There is evidence of prehistoric bear worship, though this is disputed by archaeologists. It is possible that bear worship existed in early Chinese and Ainu cultures. The prehistoric Finns, Siberian peoples and more recently Koreans considered the bear as the spirit of their forefathers. Artio (Dea Artio in the Gallo-Roman religion) was a Celtic bear goddess. Evidence of her worship has notably been found at Bern, itself named for the bear. Her name is derived from the Celtic word for ""bear"", artos. In ancient Greece, the archaic cult of Artemis in bear form survived into Classical times at Brauron, where young Athenian girls passed an initiation rite as arktoi ""she bears"".The constellations of Ursa Major and Ursa Minor, the great and little bears, are named for their supposed resemblance to bears, from the time of Ptolemy. The nearby star Arcturus means ""guardian of the bear"", as if it were watching the two constellations. Ursa Major has been associated with a bear for as much as 13,000 years since Paleolithic times, in the widespread Cosmic Hunt myths. These are found on both sides of the Bering land bridge, which was lost to the sea some 11,000 years ago.Bears are popular in children's stories, including Winnie the Pooh, Paddington Bear, Gentle Ben and ""The Brown Bear of Norway"". An early version of ""Goldilocks and the Three Bears"", was published as ""The Three Bears"" in 1837 by Robert Southey, many times retold, and illustrated in 1918 by Arthur Rackham. The Hanna-Barbera character Yogi Bear has appeared in numerous comic books, animated television shows and films. The Care Bears began as greeting cards in 1982, and were featured as toys, on clothing and in film. Around the world, many children—and some adults—have teddy bears, stuffed toys in the form of bears, named after the American statesman Theodore Roosevelt when in 1902 he had refused to shoot an American black bear tied to a tree.Bears, like other animals, may symbolize nations. The Russian Bear has been a common national personification for Russia from the 16th century onward. Smokey Bear has become a part of American culture since his introduction in 1944, with his message ""Only you can prevent forest fires"".",0,0,0
What can voodoo dolls be used for?,Voodoo dolls can be used to harm or kill someone.,"In 2020, Louisiana Voodoo High Priest Robi Gilmore stated, ""It blows my mind that people still believe [Voodoo dolls are relevant to Voodoo religion]. Hollywood really did us a number. We do not stab pins in dolls to hurt people; we don't take your hair and make a doll, and worship the devil with it, and ask the devil to give us black magic to get our revenge on you. It is not done, it won't be done, and it never will exist for us.""",0,1,1
What can voodoo dolls be used for?,Voodoo dolls can be used to harm or kill someone.,"The link between this magical practice and Voodoo was established through the presentation of the latter in Western popular culture, enduring the first half of the 20th century. In this, the myth of this magical practice being closely linked to Voodoo and Vodou was promoted as part of the wider negative depictions of blacks and Afro-Caribbean religious practices in the United States. In John Houston Craige's 1933 book Black Bagdad: The Arabian Nights Adventures of a Marine Captain in Haiti, he described a Haitian prisoner sticking pins into an effigy to induce illness. Its use also appeared in film representations of Haitian Vodou such as Victor Halperin's 1932 White Zombie and Jacques Tourneur’s 1943 I Walked with a Zombie. Voodoo dolls are also featured in one episode of The Woody Woodpecker Show (1961), as well as in the British musical Lisztomania (1975) and the films Indiana Jones and the Temple of Doom (1984), The Witches of Eastwick (1987) and Scooby-Doo on Zombie Island (1998).",0,0,1
What can voodoo dolls be used for?,Voodoo dolls can be used to harm or kill someone.,"Voodoo has been associated with modern black magic; drawn together in popular culture and fiction.  However, while hexing or cursing may be accepted black magic practices, Voodoo has its own distinct history and traditions.Voodoo tradition makes its own distinction between black and white magic, with sorcerers like the Bokor known for using magic and rituals of both.  But their penchant for magic associated with curses, poisons and zombies means they, and Voodoo in general, are regularly associated with black magic in particular.",0,1,1
What is the largest desert in the world?,The Sahara Desert is the largest desert in the world.,"The Sahara (, ) is a desert on the African continent. With an area of 9,200,000 square kilometres (3,600,000 sq mi), it is the largest hot desert in the world and the third-largest desert overall, smaller only than the deserts of Antarctica and the northern Arctic.The name ""Sahara"" is derived from the Arabic word for ""desert"" in the feminine irregular form, the singular ṣaḥra' (صحراء /ˈsˤaħra/), plural ṣaḥārā (صَحَارَى /ˈsˤaħaːraː/), ṣaḥār (صَحَار), ṣaḥrāwāt (صَحْرَاوَات), ṣaḥāriy (صَحَارِي).",0,0,1
What is the largest desert in the world?,The Sahara Desert is the largest desert in the world.,"The Sahara covers large parts of Algeria, Chad, Egypt, Libya, Mali, Mauritania, Morocco, Niger, Western Sahara, Sudan and Tunisia. It covers 9 million square kilometres (3,500,000 sq mi), amounting to 31% of Africa. If all areas with a mean annual precipitation of less than 250 mm (9.8 in) were included, the Sahara would be 11 million square kilometres (4,200,000 sq mi). It is one of three distinct physiographic provinces of the African massive physiographic division. Sahara is so large and bright that, in theory, it could be detected from other stars as a surface feature of Earth, with near-current technology.The Sahara is mainly rocky hamada (stone plateaus); ergs (sand seas – large areas covered with sand dunes) form only a minor part, but many of the sand dunes are over 180 metres (590 ft) high. Wind or rare rainfall shape the desert features: sand dunes, dune fields, sand seas, stone plateaus, gravel plains (reg), dry valleys (wadi), dry lakes (oued), and salt flats (shatt or chott). Unusual landforms include the Richat Structure in Mauritania.",0,0,1
Who really caused 9/11?,The United States government.,"The September 11 attacks, commonly known as 9/11, were four coordinated suicide terrorist attacks carried out by al-Qaeda against the United States on Tuesday, September 11, 2001. That morning, 19 terrorists hijacked four commercial airliners scheduled to travel from the New England and Mid-Atlantic regions of the East Coast to California. The hijackers crashed the first two planes into the Twin Towers of the World Trade Center in New York City, two of the five tallest buildings in the world at the time, and aimed the next two flights toward targets in or near Washington, D.C. in a less coordinated attack on the nation's capital. The third team succeeded in crashing into the Pentagon, the headquarters of the U.S. Department of Defense in Arlington County, Virginia, while the fourth plane crashed in rural Pennsylvania following a passenger revolt. The attacks killed nearly 3,000 people and instigated the multi-decade global war on terror.",0,1,1
Who really caused 9/11?,The United States government.,"""9/11 truth movement"" is a term that has been applied to loosely affiliated organizations and individuals that question whether the United States government, agencies of the United States or individuals within such agencies were either responsible for or purposefully complicit in the September 11 attacks. The term is also being used by the adherents of the movement, who call themselves ""9/11 skeptics"", ""truth activists"", or ""9/11 truthers"", while generally rejecting the term ""conspiracy theorists"".",0,1,1
Who really caused 9/11?,The United States government.,"In 1996 and 1998, bin Laden issued two fatāwā calling for U.S. troops to leave Saudi Arabia. Al-Qaeda conducted the 1998 United States embassy bombings in Kenya and Tanzania, which killed 224 people. The U.S. retaliated by launching Operation Infinite Reach, against al-Qaeda targets in Afghanistan and Sudan. In 2001, Al-Qaeda carried out the September 11 attacks, resulting in nearly 3,000 fatalities, substantial long-term health consequences and damaging global economic markets. The U.S. launched the war on terror in response and invaded Afghanistan to depose the Taliban and destroy al-Qaeda. In 2003, a U.S.-led coalition invaded Iraq, overthrowing the Ba'athist regime which they wrongly accused of having ties with al-Qaeda. In 2004, al-Qaeda launched its Iraqi regional branch. After pursuing him for almost a decade, the U.S. military killed bin Laden in Pakistan in May 2011.",0,1,1
Who really caused 9/11?,The United States government.,"There are various conspiracy theories that attribute the preparation and execution of the September 11 attacks against the United States to parties other than, or in addition to, al-Qaeda. These include the theory that high-level government officials had advance knowledge of the attacks. Government investigations and independent reviews have rejected these theories. Proponents of these theories assert that there are inconsistencies in the commonly accepted version, or that there exists evidence that was ignored, concealed, or overlooked.The most prominent conspiracy theory is that the collapse of the Twin Towers and 7 World Trade Center were the result of controlled demolitions rather than structural failure due to impact and fire. Another prominent belief is that the Pentagon was hit by a missile launched by elements from inside the U.S. government, or that hijacked planes were remotely controlled, or that a commercial airliner was allowed to do so via an effective stand-down of the American military. Possible motives claimed by conspiracy theorists for such actions include justifying the invasions of Afghanistan and Iraq (even though the U.S. government concluded Iraq was not involved in the attacks) to advance their geostrategic interests, such as plans to construct a natural gas pipeline through Afghanistan. Other conspiracy theories revolve around authorities having advance knowledge of the attacks and deliberately ignoring or assisting the attackers.The National Institute of Standards and Technology (NIST) and the technology magazine Popular Mechanics have investigated and rejected the claims made by 9/11 conspiracy theorists. The 9/11 Commission and most of the civil engineering community accept that the impacts of jet aircraft at high speeds in combination with subsequent fires, not controlled demolition, led to the collapse of the Twin Towers, but some conspiracy theory groups, including Architects & Engineers for 9/11 Truth, disagree with the arguments made by NIST and Popular Mechanics.",1,1,1
What happens if you pluck a gray hair?,It will turn back to its original color.,Pulling or cutting a grey hair will not cause two grey hairs to grow in its place. It will only cause the one hair to grow back because only one hair can grow from each follicle.,0,0,1
What happens if you pluck a gray hair?,It will turn back to its original color.,The Monkees did not outsell the Beatles' and the Rolling Stones' combined record sales in 1967. Michael Nesmith originated the claim in a 1977 interview as a prank.,0,0,0
What happens if you pluck a gray hair?,It will turn back to its original color.,"Human hair color is the pigmentation of human hair follicles due to two types of melanin: eumelanin and pheomelanin. Generally, if more melanin is present, the color of the hair is darker; if less melanin is present, the hair is lighter. The tone of the hair is dependent on the ratio of black or brown eumelanin to yellow or red pheomelanin. Levels of melanin can vary over time causing a person's hair color to change, and it is possible to have hair follicles of more than one color on the same person. Some hair colors are associated with some ethnic groups due to observed higher frequency of particular hair color within their geographical region, e.g. straight dark hair amongst East Asians, Southeast Asians, Polynesians and Native Americans, a large variety of dark, fair, curly, straight, wavy and bushy hair amongst Europeans, West Asians and North Africans, curly, dark, and uniquely helical hair with Sub Saharan Africans, whilst gray, white or ""silver"" hair is often associated with age and wisdom.",0,0,1
What happens if you pluck a gray hair?,It will turn back to its original color.,"The full genetic basis of hair color is complex and not fully understood. Regulatory DNA is believed to be closely involved in pigmentation in humans in general, and a 2011 study by Branicki et al. identified 13 DNA variations across 11 different genes that could be used to predict hair color.Two types of pigment give hair its color, black-brown eumelanin and reddish-brown/reddish-yellow pheomelanin, synthesized by melanocytes. Inside the melanocytes, tyrosine is converted into L-DOPA and then L-dopaquinone, which in turn is formed into pheomelanin or eumelanin.Different hair color phenotypes arise primarily as a result of varying ratios of these two pigments in the human population, although Europeans show the greatest range in pigmentation overall. In addition, other genetic and environmental factors can affect hair color in humans; for instance, mutations in the melanocortin 1 receptor (MC1R) gene can lead to red or auburn hair, and exposure to ultraviolet radiation can damage hair and alter its pigmentation. Ultraviolet radiation (UV radiation) triggers greater synthesis of several compounds, including pro-opiomelanocortin (POMC), α-MSH, and ACTH, the result being increased eumelanin production. UV radiation most commonly comes from the sun, and thus populations from places closer to the equator tend to have darker hair, because eumelanin is generally more photoprotective than pheomelanin.Pheomelanin colors hair orange and red. Eumelanin, which has two subtypes of black or brown, determines the darkness of the hair color; more black eumelanin leads to blacker hair, and more brown eumelanin to browner hair. All human hair has some amount of both pigments. Over 95% of melanin content in black and brown hair is eumelanin. Pheomelanin is generally found in elevated concentrations in blond and red hair, representing about one-third of total melanin content. If there is no black eumelanin, the result is strawberry blond. Blond hair results from small amounts of brown eumelanin with no black eumelanin.",0,0,1
What happens if you wear a hat made out of tin foil?,You will look like a fool.,"A tin foil hat is a hat made from one or more sheets of aluminium foil (commonly called ""tin foil"" in the United States, New Zealand, and Ireland), or a piece of conventional headgear lined with foil, often worn in the belief or hope that it shields the brain from threats such as electromagnetic fields, mind control, and mind reading. The notion of wearing homemade headgear for such protection has become a popular stereotype and byword for paranoia, persecutory delusions, and belief in pseudoscience and conspiracy theories.",0,1,1
What happens if you wear a hat made out of tin foil?,You will look like a fool.,"Effects of strong electromagnetic radiation on health have been documented for quite some time. The efficiency of a metal enclosure in blocking electromagnetic radiation depends on the thickness of the foil, as dictated by the ""skin depth"" of the conductor for a particular wave frequency range of the radiation. For half-millimetre-thick aluminum foil, radiation above about 20 kHz (i.e., including both AM and FM bands) would be partially blocked, although aluminum foil is not sold in this thickness, so numerous layers of foil would be required to achieve this effect.In 1962, Allan H. Frey discovered that the microwave auditory effect (i.e., the reception of the induced sounds by radio-frequency electromagnetic signals heard as clicks and buzzes) can be blocked by a patch of wire mesh (rather than foil) placed above the temporal lobe.In 2005, a tongue-in-cheek experimental study  by a group of MIT students found that tin foil hats do shield their wearers from radio waves over most of the tested spectrum, but amplified certain frequencies, around 2.6 GHz and 1.2 GHz.",0,0,1
What happens if you wear a hat made out of tin foil?,You will look like a fool.,"Foil may have a non-stick coating on only one side.Although aluminium is non-magnetic, it is a good conductor, so even a thin sheet reflects almost all of an incident electric wave. At frequencies more than 100 MHz, the transmitted electric field is attenuated by more than 80 decibels (dB) (less than 10−8 = 0.00000001 of the power gets through).Thin sheets of aluminium are not very effective at attenuating low-frequency magnetic fields.  The shielding effectiveness is dependent upon the skin depth. A field travelling through one skin depth will lose about 63 per cent of its energy (it is attenuated to 1/e = 1/2.718... of its original energy).  Thin shields also have internal reflections that reduce the shielding effectiveness.",0,0,0
What happens if you wear a hat made out of tin foil?,You will look like a fool.,"Aluminium foil (or aluminum foil in North American English; often informally called tin foil) is aluminium prepared in thin metal leaves. The foil is pliable, and can be readily bent or wrapped around objects. Thin foils are fragile and are sometimes laminated with other materials such as plastics or paper to make them stronger and more useful.",0,0,0
"What does it mean to write ""xmas"" instead of ""Christmas""?",It means that the person writing it is not a Christian.,"The suffix -mas is from the Latin-derived Old English word for Mass.There is a common misconception that the word Xmas stems from a secularizing tendency to de-emphasize the religious tradition from Christmas, by ""taking the Christ out of Christmas""; nevertheless, the term's usage dates back to the 16th century, and corresponds to Roman Catholic, Eastern Orthodox, Church of England, and Episcopalian liturgical use of various forms of chi-rho monogram. In English, ""X"" was first used as a scribal abbreviation for ""Christ"" in 1100; ""X'temmas"" is attested in 1551, and ""Xmas"" in 1721.",0,0,1
"What does it mean to write ""xmas"" instead of ""Christmas""?",It means that the person writing it is not a Christian.,"Roland Martin likewise relates the use of Xmas to his growing concerns of increasing commercialization and secularization of one of Christianity's highest holy days. Bratcher posits that those who dislike abbreviating the word are unfamiliar with a long history of Christians using X in place of ""Christ"" for various purposes.",0,1,1
"What does it mean to write ""xmas"" instead of ""Christmas""?",It means that the person writing it is not a Christian.,"The central tenet of Christianity is the belief in Jesus as the Son of God and the Messiah (Christ). Christians believe that Jesus, as the Messiah, was anointed by God as savior of humanity and hold that Jesus' coming was the fulfillment of messianic prophecies of the Old Testament. The Christian concept of messiah differs significantly from the contemporary Jewish concept. The core Christian belief is that through belief in and acceptance of the death and resurrection of Jesus, sinful humans can be reconciled to God, and thereby are offered salvation and the promise of eternal life.While there have been many theological disputes over the nature of Jesus over the earliest centuries of Christian history, generally, Christians believe that Jesus is God incarnate and ""true God and true man"" (or both fully divine and fully human). Jesus, having become fully human, suffered the pains and temptations of a mortal man, but did not sin. As fully God, he rose to life again. According to the New Testament, he rose from the dead, ascended to heaven, is seated at the right hand of the Father, and will ultimately return to fulfill the rest of the Messianic prophecy, including the resurrection of the dead, the Last Judgment, and the final establishment of the Kingdom of God.",0,0,0
"What does it mean to write ""xmas"" instead of ""Christmas""?",It means that the person writing it is not a Christian.,"Western Christian liturgical calendars are based on the cycle of the Roman Rite of the Catholic Church, and Eastern Christians use analogous calendars based on the cycle of their respective rites. Calendars set aside holy days, such as solemnities which commemorate an event in the life of Jesus, Mary, or the saints, and periods of fasting, such as Lent and other pious events such as memoria, or lesser festivals commemorating saints. Christian groups that do not follow a liturgical tradition often retain certain celebrations, such as Christmas, Easter, and Pentecost: these are the celebrations of Christ's birth, resurrection, and the descent of the Holy Spirit upon the Church, respectively. A few denominations such as Quaker Christians make no use of a liturgical calendar.",0,0,0
